,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
68,0.653,0.7859999999999999,2,-5.417999999999999,1,0.0338,0.0103,2.19e-06,0.201,0.47700000000000004,120.992,226733.0,4,33.553259999999995,9,1
69,0.7440000000000001,0.7390000000000001,4,-6.272,0,0.307,0.11900000000000001,0.0,0.106,0.6779999999999999,79.245,185582.0,4,28.99861,8,0
70,0.473,0.722,5,-5.176,1,0.0358,0.00507,0.0,0.377,0.5489999999999999,149.625,256000.0,4,40.17949,11,0
71,0.621,0.747,1,-6.5520000000000005,0,0.0782,0.00227,0.000234,0.0449,0.726,172.31,205267.0,4,63.6742,8,1
72,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.6459999999999999,119.075,227840.0,4,57.79785,10,1
73,0.718,0.7859999999999999,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,267320.0,4,40.33202,20,1
74,0.387,0.268,0,-13.995999999999999,1,0.0348,0.995,0.828,0.0942,0.337,113.35700000000001,518227.0,4,28.63663,17,0
75,0.384,0.735,5,-4.856,0,0.0383,0.703,0.9209999999999999,0.23199999999999998,0.276,133.906,256013.0,4,78.69983,10,0
76,0.064,0.0794,3,-16.971,1,0.0403,0.43200000000000005,0.8959999999999999,0.151,0.0356,63.29,218947.0,4,57.702169999999995,12,0
78,0.596,0.9209999999999999,7,-4.987,1,0.0504,0.0221,0.0,0.303,0.703,104.024,210560.0,4,29.07478,11,1
79,0.726,0.294,4,-14.450999999999999,0,0.0472,0.595,0.7170000000000001,0.0385,0.185,125.712,206733.0,4,29.711170000000003,12,0
80,0.598,0.782,4,-6.018,1,0.0305,0.40700000000000003,6.55e-05,0.5579999999999999,0.298,118.93799999999999,205053.0,4,21.294420000000002,10,0
81,0.42100000000000004,0.728,7,-5.644,1,0.035,0.136,0.0,0.136,0.311,150.12,244667.0,4,29.221790000000002,11,1
82,0.609,0.563,5,-6.284,0,0.0328,0.0109,7.76e-06,0.156,0.306,148.94899999999998,259533.0,4,41.68325,14,1
83,0.44799999999999995,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762,258333.0,4,48.88537,12,1
84,0.395,0.917,8,-6.86,1,0.133,0.00143,0.0,0.261,0.563,169.088,197640.0,4,30.63383,6,1
85,0.365,0.632,11,-6.574,1,0.0303,0.444,0.708,0.127,0.289,129.545,452747.0,4,43.87393,15,0
86,0.792,0.637,4,-9.826,0,0.0743,0.000443,0.44799999999999995,0.0698,0.366,127.98899999999999,481350.0,4,57.90045,18,0
87,0.34299999999999997,0.972,1,-9.573,0,0.079,1.52e-06,0.51,0.0501,0.547,94.927,82187.0,4,14.984539999999999,3,0
88,0.7979999999999999,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,284373.0,4,30.48537,14,1
89,0.47100000000000003,0.993,1,-3.738,1,0.191,7.36e-06,0.00216,0.0925,0.0672,113.99600000000001,217253.0,4,18.99449,12,0
90,0.93,0.773,1,-5.98,1,0.0457,0.00609,0.000481,0.0767,0.348,118.99700000000001,230493.0,4,31.991870000000002,10,1
91,0.682,0.579,7,-7.9239999999999995,1,0.0712,0.196,0.0,0.136,0.784,100.186,222589.0,4,43.760459999999995,8,0
92,0.664,0.7809999999999999,11,-6.547000000000001,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240.0,4,30.64844,10,1
93,0.59,0.836,7,-2.805,1,0.0385,0.0033399999999999997,0.0,0.0358,0.9390000000000001,138.84,143000.0,4,45.105309999999996,6,0
94,0.315,0.81,4,-7.026,0,0.0468,0.0781,0.00321,0.152,0.11800000000000001,152.116,201907.0,4,33.25761,11,1
95,0.5770000000000001,0.9359999999999999,5,-4.178999999999999,1,0.0915,0.0839,0.0,0.344,0.5720000000000001,153.985,211547.0,4,25.54091,12,0
96,0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,238560.0,4,29.82293,11,1
97,0.441,0.0712,2,-21.625,1,0.0456,0.995,0.934,0.0917,0.157,94.35,185533.0,4,58.47325,7,0
98,0.662,0.8540000000000001,1,-5.518,1,0.0434,0.133,0.0,0.33299999999999996,0.915,121.961,245947.0,4,40.45327,11,0
99,0.534,0.39299999999999996,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,290360.0,4,58.456019999999995,9,1
100,0.606,0.9590000000000001,7,-3.412,1,0.0522,0.0714,0.0,0.23600000000000002,0.7340000000000001,116.014,193293.0,4,59.85298,8,1
101,0.55,0.61,2,-6.358,1,0.0388,0.0456,0.0,0.11,0.35700000000000004,168.18599999999998,201867.0,4,24.3249,11,1
102,0.72,0.5479999999999999,4,-4.805,0,0.0291,0.0026899999999999997,0.000118,0.0511,0.7090000000000001,99.00399999999999,211693.0,4,28.305159999999997,8,1
103,0.858,0.607,1,-4.199,1,0.11800000000000001,0.0169,3.97e-05,0.0777,0.821,119.986,188293.0,3,66.31259,9,1
104,0.565,0.562,0,-7.43,1,0.0339,0.263,0.0,0.0994,0.652,75.035,229093.0,4,25.98469,9,1
105,0.435,0.7290000000000001,1,-4.8180000000000005,0,0.0307,0.0152,2.6300000000000002e-05,0.11,0.524,188.017,256600.0,4,41.423140000000004,10,1
106,0.65,0.72,11,-8.802999999999999,1,0.161,0.0238,0.14,0.36700000000000005,0.738,154.664,170213.0,4,59.91441999999999,4,0
